,Name,phenotype,reviewCount,topEffect,thc,subtitle
354,"Chocolate,Chunk",Indica,206,Sleepy,18.0,
355,"Colombian,Gold",Sativa,206,Energetic,20.0,"Santa,Marta,Colombian,Gold,,Santa,Marta"
356,"Head,Cheese",Hybrid,206,Euphoric,24.0,"OG,Head,Cheese"
357,"Redwood,Kush",Indica,205,Sleepy,14.0,
358,"OG,Chem",Hybrid,205,Creative,24.0,"Chemdog,OG,,Chem,OG,,Chemdawg,OG"
359,Zookies,Hybrid,205,Focused,21.0,
360,"Grapefruit,Kush",Hybrid,204,Aroused,19.0,
361,"White,99",Hybrid,202,Uplifted,25.0,
362,"Mag,Landrace",Indica,201,Sleepy,,
363,"Green,Dream",Hybrid,200,Energetic,15.0,
364,"Dairy,Queen",Hybrid,199,Happy,16.0,
365,Canna-Tsu,Hybrid,198,Focused,4.0,
366,"Panama,Red",Sativa,198,Talkative,17.0,
367,"Purple,Chemdawg",Indica,198,Relaxed,,"Purple,Chem,,Purple,Chemdog"
368,AK-48,Hybrid,198,Uplifted,17.0,
369,Strawberry,Sativa,197,Energetic,18.0,
370,"Moonshine,Haze",Sativa,197,Uplifted,20.0,
371,"London,Pound,Cake",Hybrid,196,Sleepy,20.0,"Pound,Cake"
372,"Chem,91",Hybrid,195,Talkative,21.0,"Chem,#91,,Chemdog,91,,Chemdawg,91"
373,"Jenny,Kush",Hybrid,194,Uplifted,26.0,
374,Chronic,Hybrid,193,Giggly,13.0,
375,"Champagne,Kush",Hybrid,192,Talkative,14.0,Champagne
376,"Platinum,Purple,Kush",Indica,192,Sleepy,22.0,"Platinum,Purple,,Purple,Platinum"
377,"Green,Queen",Hybrid,190,Energetic,20.0,
378,"Northern,Lights,#5",Indica,189,Euphoric,19.0,NL#5
379,"Master,Yoda",Hybrid,189,Sleepy,15.0,"Master,Yoda,Kush,,Yoda,Kush"
380,"Lilac,Diesel",Hybrid,187,Uplifted,22.0,
381,"Cataract,Kush",Hybrid,186,Sleepy,17.0,
382,Trinity,Sativa,186,Uplifted,20.0,
383,"White,Berry",Indica,186,Creative,20.0,"White,Raspberry"
384,"Blue,Hawaiian",Hybrid,186,Happy,21.0,
385,"Pink,Lemonade",Hybrid,186,Energetic,18.0,
386,"Allen,Wrench",Sativa,185,Energetic,18.0,
